registration_id,age,age_group,gender,region,ticket_type,registration_channel,event_category,days_before_event_registered,ticket_price,previous_events_attended,email_reminders_opened,social_media_clicks,distance_to_venue_km,group_registration,calendar_invite_accepted,attended_event
EV0283,78,51+,Female,South,Free,Partner Site,Technology,92,0,10,2,3,89.7,No,No,0
EV0284,64,51+,Female,East,Standard,Phone,Education,113,167,15,4,11,94.1,Yes,No,1
EV0285,35,26-35,Female,West,VIP,Phone,Health,21,196,10,5,9,5.3,No,Yes,1
EV0286,44,36-50,Female,West,Standard,Phone,Education,36,70,8,1,0,73.7,No,No,1
EV0287,60,51+,Male,South,Standard,Website,Education,8,99,3,2,0,40.0,No,No,0
EV0288,47,36-50,Female,East,Free,Website,Technology,45,0,1,3,12,79.6,No,No,0
EV0289,44,36-50,Male,North,Free,Mobile App,Health,111,0,8,6,8,18.6,No,Yes,1
EV0290,70,51+,Male,East,Standard,Mobile App,Education,100,57,18,1,2,68.5,Yes,No,0
EV0291,61,51+,Male,South,Free,Website,Education,60,0,5,2,1,25.4,No,Yes,0
EV0292,27,26-35,Male,East,VIP,Phone,Technology,101,397,11,2,1,35.6,No,Yes,1
EV0293,32,26-35,Male,South,VIP,Mobile App,Business,98,402,2,6,1,60.5,Yes,No,1
EV0294,39,36-50,Female,West,VIP,Phone,Arts,64,406,16,1,0,55.1,No,No,0
EV0295,52,51+,Female,South,Standard,Partner Site,Education,37,43,1,0,8,71.3,No,Yes,0
EV0296,69,51+,Female,East,VIP,Website,Education,43,206,2,6,2,42.8,Yes,No,1
EV0297,39,36-50,Male,West,Free,Partner Site,Education,44,0,2,6,5,70.0,No,Yes,1
EV0298,19,18-25,Male,North,Free,Website,Technology,56,0,15,4,8,25.0,No,No,1
EV0299,31,26-35,Female,South,Student,Website,Technology,119,30,3,4,10,92.6,Yes,No,0
EV0300,57,51+,Female,South,Standard,Website,Technology,48,63,16,5,1,80.9,No,Yes,1
EV0301,37,36-50,Male,West,Standard,Partner Site,Education,37,164,0,4,1,8.3,Yes,Yes,1
EV0302,38,36-50,Male,East,Standard,Mobile App,Education,1,128,7,3,8,10.8,No,No,1
EV0303,57,51+,Female,East,VIP,Phone,Business,59,387,2,5,9,32.8,Yes,Yes,1
EV0304,39,36-50,Male,West,VIP,Phone,Technology,59,213,10,1,11,36.1,No,Yes,1
EV0305,39,36-50,Male,East,Standard,Mobile App,Health,16,142,14,6,4,3.1,Yes,No,1
EV0306,77,51+,Male,East,Standard,Phone,Arts,19,167,1,3,1,48.7,No,Yes,1
EV0307,57,51+,Male,West,Standard,Website,Technology,20,99,18,6,0,67.2,No,No,1
EV0308,57,51+,Female,West,Student,Website,Education,58,34,8,4,0,1.4,Yes,No,0
EV0309,20,18-25,Male,West,Student,Partner Site,Education,108,33,14,4,6,83.8,Yes,No,1
EV0310,49,36-50,Female,East,Standard,Partner Site,Arts,109,103,2,2,8,27.2,Yes,Yes,0
EV0311,65,51+,Male,West,Student,Mobile App,Education,120,13,10,5,11,66.3,No,Yes,1
EV0312,70,51+,Female,West,Standard,Website,Education,120,142,6,0,11,68.3,No,No,0
EV0313,24,18-25,Male,East,Standard,Mobile App,Education,59,157,14,6,0,79.6,Yes,Yes,1
EV0314,24,18-25,Female,West,Free,Partner Site,Technology,9,0,9,5,8,55.4,No,No,0
EV0315,51,51+,Male,West,Standard,Phone,Arts,58,140,3,6,3,62.1,No,Yes,0
EV0316,49,36-50,Male,East,Standard,Website,Education,18,81,5,1,5,,Yes,No,1
EV0317,63,51+,Male,North,Free,Website,Business,74,0,17,4,3,35.1,Yes,Yes,1
EV0318,37,36-50,Male,West,Standard,Website,Arts,94,123,12,4,10,67.2,No,No,0
EV0319,23,18-25,Female,West,Standard,Partner Site,Business,61,104,11,3,3,35.3,Yes,Yes,1
EV0320,50,36-50,Female,East,Free,Phone,Arts,58,0,18,1,12,61.7,No,No,1
EV0321,41,36-50,Male,West,VIP,Mobile App,Health,117,383,8,5,8,45.9,No,Yes,1
EV0322,50,36-50,Male,West,Standard,Website,Arts,91,123,8,5,2,51.1,No,Yes,1
EV0323,24,18-25,Female,North,Student,Partner Site,Technology,21,26,7,6,0,90.9,Yes,Yes,1
EV0324,24,18-25,Female,South,Free,Phone,Education,72,0,2,1,2,70.5,No,No,0
EV0325,71,51+,Male,East,Free,Partner Site,Health,53,0,15,6,10,71.6,No,Yes,1
EV0326,53,51+,Female,North,Standard,Partner Site,Technology,9,141,9,3,6,58.9,Yes,Yes,1
EV0327,73,51+,Male,West,VIP,Partner Site,Technology,92,202,15,5,12,17.0,Yes,Yes,1
EV0328,33,26-35,Female,East,Free,Partner Site,Business,69,0,3,2,12,64.2,Yes,Yes,0
EV0329,40,36-50,Male,North,Student,Mobile App,Technology,85,18,14,3,8,78.5,No,Yes,1
EV0330,44,36-50,Female,East,Free,Mobile App,Health,7,0,13,4,6,11.4,No,Yes,1
EV0331,57,51+,Female,West,Free,Mobile App,Technology,35,0,6,4,0,14.4,No,No,0
EV0332,20,18-25,Female,North,Standard,Website,Health,82,,4,2,1,88.3,Yes,No,0
EV0333,49,36-50,Female,East,Free,Website,Health,98,0,11,4,11,38.5,No,No,1
EV0334,58,51+,Male,South,VIP,Partner Site,Technology,47,229,14,1,11,48.0,No,Yes,1
EV0335,71,51+,Female,East,Standard,Mobile App,Arts,33,167,15,0,1,60.4,No,Yes,1
EV0336,51,51+,Male,West,Standard,Partner Site,Education,23,93,2,0,4,86.1,No,No,0
EV0337,62,51+,Male,West,Free,Website,Education,76,0,18,2,8,81.2,No,Yes,1
EV0338,61,51+,Male,West,Free,Website,Health,103,0,5,2,5,69.9,No,Yes,0
EV0339,63,51+,Female,East,Free,Mobile App,Education,97,,14,3,2,31.0,No,No,0
EV0340,78,51+,Female,West,Free,Phone,Technology,77,0,13,5,1,61.1,No,Yes,1
EV0341,71,51+,Male,South,VIP,Website,Arts,60,224,3,4,8,1.1,Yes,No,1
EV0342,77,51+,Female,East,Student,Partner Site,Education,107,34,5,1,11,6.0,Yes,No,0
EV0343,25,18-25,Female,West,Standard,Mobile App,Technology,33,50,7,6,0,17.0,No,No,1
EV0344,72,51+,Female,North,Standard,Mobile App,Education,118,135,12,6,1,4.9,No,No,1
EV0345,37,36-50,Male,East,Free,Mobile App,Arts,13,0,11,1,10,67.3,No,Yes,0
EV0346,52,51+,Male,West,Free,Mobile App,Arts,24,0,1,4,1,69.4,No,Yes,0
EV0347,35,26-35,Male,South,Free,Website,Technology,9,0,14,3,11,64.8,No,Yes,1
EV0348,58,51+,Male,North,Free,Website,Education,42,0,14,1,7,21.5,No,Yes,1
EV0349,39,36-50,Female,South,Standard,Website,Technology,9,140,1,1,6,29.6,No,No,0
EV0350,25,18-25,Female,South,Student,Partner Site,Technology,80,10,15,1,10,9.8,Yes,No,1
EV0351,64,51+,Female,South,Student,Partner Site,Technology,1,14,8,5,2,63.0,Yes,Yes,1
EV0352,29,26-35,Male,North,Free,Partner Site,Business,77,0,4,2,2,83.5,No,Yes,0
EV0353,73,51+,Male,East,Free,Mobile App,Business,32,0,11,4,6,58.3,Yes,No,1
EV0354,54,51+,Male,South,Student,Website,Health,120,26,9,6,12,76.0,No,Yes,1
EV0355,38,36-50,Male,South,Standard,Website,Technology,6,80,6,1,3,21.2,No,No,1
EV0356,68,51+,Male,South,Standard,Phone,Business,67,46,15,3,8,22.9,No,No,1
EV0357,49,36-50,Male,North,Standard,Partner Site,Health,44,69,1,6,0,46.9,No,No,0
EV0358,68,51+,Female,North,Free,Mobile App,Business,103,0,11,6,10,59.7,Yes,No,1
EV0359,60,51+,Female,South,Standard,Website,Health,100,157,4,0,1,17.6,No,No,0
EV0360,77,51+,Male,East,Free,Website,Arts,100,0,9,2,3,85.0,No,Yes,0
EV0361,64,51+,Female,North,Standard,Phone,Technology,101,108,10,4,5,74.0,No,Yes,1
EV0362,38,36-50,Male,West,Free,Website,Technology,84,0,7,6,3,61.8,No,Yes,1
EV0363,52,51+,Male,East,Standard,Mobile App,Arts,89,40,3,6,11,30.7,Yes,No,1
EV0364,56,51+,Male,South,Standard,Website,Arts,114,165,8,5,2,63.9,No,Yes,0
EV0365,27,26-35,Female,West,Free,Partner Site,Business,69,0,17,1,8,64.3,Yes,Yes,1
EV0366,27,26-35,Female,West,Standard,Partner Site,Education,42,133,11,6,6,22.5,Yes,No,1
EV0367,26,26-35,Male,North,Standard,Mobile App,Arts,84,142,12,6,1,31.5,No,Yes,1
EV0368,65,51+,Male,North,Standard,Phone,Health,18,58,11,1,6,24.4,Yes,Yes,1
EV0369,58,51+,Male,North,VIP,Phone,Arts,39,370,3,4,11,66.2,Yes,No,1
EV0370,68,51+,Female,West,Standard,Mobile App,Technology,41,80,18,0,7,49.5,No,Yes,1
EV0371,55,51+,Male,North,Free,Partner Site,Health,47,0,15,2,0,17.3,No,No,0
EV0372,73,51+,Female,South,Standard,Mobile App,Arts,8,85,11,6,0,25.0,No,No,1
EV0373,58,51+,Female,East,Standard,Mobile App,Health,30,96,3,3,5,40.1,No,Yes,1
EV0374,55,51+,Male,North,Free,Mobile App,Health,106,0,3,2,2,31.0,Yes,Yes,1
EV0375,61,51+,Female,South,Student,Mobile App,Health,10,33,18,2,10,11.9,No,Yes,1
EV0376,40,36-50,Female,South,Free,Partner Site,Arts,5,0,0,0,1,33.0,No,Yes,0
EV0377,26,26-35,Male,East,Standard,Website,Business,102,88,3,3,7,77.8,No,No,0
EV0378,61,51+,Female,East,Student,Website,Business,61,21,3,3,9,50.9,Yes,Yes,1
EV0379,47,36-50,Female,South,Standard,Mobile App,Education,26,135,18,4,12,25.3,Yes,Yes,1
EV0380,23,18-25,Male,East,Free,Partner Site,Health,96,0,1,5,8,29.8,No,No,0
